sample_id,z,y
892898,0,0.06105152973647915
3082894,1,-0.03723028637933415
2740883,0,0.31179351642707875
3787812,0,0.4813266193295334
3346525,0,-0.2331456792181456
1698625,1,0.27743051612455916
3907788,0,0.2043124085337261
865539,1,0.3939281690608144
3022004,1,0.41460444478701297
3208119,0,0.4038435064175447
3507323,0,0.04783225471177893
3749300,0,0.38478638990719083
2470498,1,0.5352464495774485
444690,0,0.6078880050250731
2218340,1,0.23387182261320538
1353755,1,0.6196569408505874
2279261,0,0.05429553052753222
994016,0,0.17120851466313977
1823665,1,0.1986784888939957
2390918,1,0.44706803614189605
511505,1,0.5339327324765175
3483255,1,0.7069635783858508
2198090,0,0.47451735622041136
266817,1,0.5594826933739737
3129451,0,0.0742194796457852
3410354,1,0.3981970123717897
3768037,0,0.13001461231876815
1208613,0,-0.13265033118046898
2269513,0,0.1979800378702839
1128017,1,0.27060486236309644
2903342,1,0.7072117963336239
3162347,1,0.45784769466727954
3948431,0,-0.08551848321624261
3172456,0,0.6256378970229866
1595426,0,0.9373646225711912
194859,1,-0.49277261623640944
873918,0,0.4364175463274119
1637002,0,-0.12499904868595886
3072325,1,0.2757158043568355
197995,1,0.21427936856604723
2836467,0,0.22458132660490945
1317244,1,0.5205210625686733
2202320,0,-0.09250572462525575
2021316,0,0.8944250334519321
2963210,1,0.1774919609955469
3244311,0,0.49295117550646056
1987312,1,0.4127518733866385
829676,0,0.44023092896387805
3930950,0,0.2534142752001666
2173124,0,0.09045085366637307
2964701,0,0.03256840311189829
1250042,0,0.47341099151670574
3055131,1,-0.006092686829521243
1620544,0,0.5771096263196005
2053450,0,0.36728912360666344
2609814,1,0.3633202190409427
1247488,1,0.694634944674744
2192355,1,0.2319476440775651
1638842,1,0.8692610722062583
3059800,0,-0.122236701848487
2207745,0,0.6028089866233274
1951203,1,0.08008824289389549
915090,1,0.8097394368207453
997628,0,-0.08298653806368189
496664,0,0.6242542389332207
330983,0,0.5157320367458982
1034411,0,0.1380112114079893
3807261,0,0.6428330430092587
2949179,1,0.2473443670097209
207378,0,0.44294459165836747
1326338,1,0.8748770502552878
3089014,0,-0.014519999566855436
637436,1,0.6325545267180912
1384131,0,0.09954723418959349
1837264,1,0.26898806950960025
313145,0,0.5006789403145169
2669068,1,0.6105477062803772
1891301,0,0.5797706125859692
2284550,1,0.8527752584251052
911969,0,0.4525050810096177
1401316,0,0.23256625637531503
1558290,1,1.1184024883627268
2797151,0,0.5569443523792457
224509,0,0.4914905028115334
3049313,0,0.5373163657385244
2702615,1,0.5707658158973339
2560121,0,0.22334411403488946
3866974,0,0.02697421321154919
2019141,1,0.06726836539134101
2440984,0,0.5015612523230928
426822,0,-0.06330971649594253
1603875,0,0.23780123693618155
705862,0,0.19491590200833198
3875516,0,-0.47772031361479933
2173704,1,-0.011627461314736243
3894216,0,0.4292328342134969
294576,0,0.2025820418054336
1105308,0,0.7554588326534086
2221208,1,0.7605396258841017
669065,0,-0.29958988858369723
3251623,1,0.025190166826322247
2779865,0,0.027076446181765475
3112002,0,0.33325236424642324
2161478,0,0.3451598889084336
2059038,1,0.2106920190229732
3477798,0,0.4520718674664189
1830582,0,0.07461473924120937
2665183,1,0.4779805727567875
1853360,0,0.28056560412191567
3020021,0,0.5165524244114976
589411,0,-0.11895589557961106
2869185,0,0.05766202832437247
825601,0,0.31893344481722974
3344540,0,0.3976115077747667
3308401,1,0.8987354000686597
3511127,0,0.6987369921832619
2198793,0,0.766616309461912
1517297,0,-0.05437525215018035
1573204,0,0.2757871277003185
3010295,0,0.24486516448361229
1414927,1,0.2219383551562257
2546216,1,0.6508682042693166
1220288,0,0.18350038541405336
298811,0,-0.30526268090677855
414297,0,0.503150843406568
1911633,1,-0.34957016312059386
1006670,1,0.29356677311659973
923956,0,0.19977466220945095
2056810,0,0.8513264801957907
1913950,0,0.40900405876002227
1385057,0,-0.09083052099768057
2460856,0,0.24759519578648592
1480276,0,-0.07523528762044987
2731134,0,0.48211340770766475
1976661,1,0.4565561069939313
637798,0,0.2154789892129315
624583,1,0.42403126595064444
1246058,0,0.37501736155407583
446881,0,0.6985210705101257
3800128,0,-0.135620053849786
1130055,0,0.4160543200022996
236447,1,0.6304249059561191
2968850,0,0.5378718337271263
1479802,0,-0.05142491402743765
1520042,1,0.7483599612927838
2534885,0,0.7712243499158973
1416387,1,0.8746713916650937
2564887,1,1.2086067882590255
2597139,0,0.3936491379143525
2048306,0,0.3632465867711245
2488950,0,0.054332934169281255
3653881,0,0.33999180330381334
1671502,1,0.7190975319330274
2859647,0,0.39642894699381204
693117,0,0.5381714972433637
1906217,1,0.014077349465717516
839249,0,0.28770693172667905
508087,0,0.35908003615355866
3148156,0,0.1881318624537871
1100936,1,0.7883781915936361
757244,0,0.013741345836293217
1070774,0,-0.04361303501007177
3214761,0,0.2409336373323138
2134595,0,-0.15659747777000899
218656,0,0.4437889588930696
3275598,0,0.482358686893187
3452304,0,0.6495290549986292
2227782,1,0.38091389563731637
1399875,0,0.21156570364478328
